1/3/17,WOO
1/4/17,WOO
1/5/17,WOO
1/6/17,WOO
1/9/17,WOO
1/10/17,WOO
1/11/17,WOO
1/12/17,WOO
1/13/17,WOO
1/16/17,
1/17/17,WOO
1/18/17,WOO
1/19/17,WOO
1/20/17,WOO
1/23/17,WOO
1/24/17,WOO
1/25/17,WOO
1/26/17,WOO
1/27/17,WOO
1/30/17,WOO
1/31/17,WOO
2/1/17,WOO
2/2/17,WOO
2/3/17,WOO
2/6/17,WOO
2/7/17,WOO
2/8/17,WOO
2/9/17,WOO
2/10/17,WOO
2/13/17,WOO
2/14/17,WOO
2/15/17,WOO
2/16/17,WOO
2/17/17,WOO
2/20/17,
2/21/17,WOO
2/22/17,WOO
2/23/17,WOO
2/24/17,WOO
2/27/17,WOO
2/28/17,WOO
3/1/17,WOO
3/2/17,WOO
3/3/17,WOO
3/6/17,WOO
3/7/17,WOO
3/8/17,WOO
3/9/17,WOO
3/10/17,WOO
3/13/17,WOO
3/14/17,WOO
3/15/17,WOO
3/16/17,WOO
3/17/17,WOO
3/20/17,WOO
3/21/17,WOO
3/22/17,WOO
3/23/17,WOO
3/24/17,WOO
3/27/17,WOO
3/28/17,WOO
3/29/17,WOO
3/30/17,WOO
3/31/17,WOO
4/3/17,WOO
4/4/17,WOO
4/5/17,WOO
4/6/17,WOO
4/7/17,WOO
4/10/17,WOO
4/11/17,WOO
4/12/17,WOO
4/13/17,WOO
4/14/17,
4/17/17,WOO
4/18/17,WOO
4/19/17,WOO
4/20/17,WOO
4/21/17,WOO
4/24/17,WOO
4/25/17,WOO
4/26/17,WOO
4/27/17,WOO
4/28/17,WOO
5/1/17,WOO
5/2/17,WOO
5/3/17,WOO
5/4/17,WOO
5/5/17,WOO
5/8/17,WOO
5/9/17,WOO
5/10/17,WOO
5/11/17,WOO
5/12/17,WOO
5/15/17,WOO
5/16/17,WOO
5/17/17,WOO
5/18/17,WOO
5/19/17,WOO
5/22/17,WOO
5/23/17,WOO
5/24/17,WOO
5/25/17,WOO
5/26/17,WOO
5/29/17,
5/30/17,WOO
5/31/17,WOO
6/1/17,WOO
6/2/17,WOO
6/5/17,WOO
6/6/17,WOO
6/7/17,WOO
6/8/17,WOO
6/9/17,WOO
6/12/17,WOO
6/13/17,WOO
6/14/17,WOO
6/15/17,WOO
6/16/17,WOO
6/19/17,WOO
6/20/17,WOO
6/21/17,WOO
6/22/17,WOO
6/23/17,WOO
6/26/17,WOO
6/27/17,WOO
6/28/17,WOO
6/29/17,WOO
6/30/17,WOO
7/3/17,Correction
7/4/17,
7/5/17,Correction
7/6/17,Correction
7/7/17,Correction
7/10/17,Correction
7/11/17,WOO
7/12/17,WOO
7/13/17,WOO
7/14/17,WOO
7/17/17,WOO
7/18/17,WOO
7/19/17,WOO
7/20/17,WOO
7/21/17,WOO
7/24/17,WOO
7/25/17,WOO
7/26/17,WOO
7/27/17,WOO
7/28/17,WOO
7/31/17,WOO
8/1/17,WOO
8/2/17,WOO
8/3/17,WOO
8/4/17,WOO
8/7/17,WOO
8/8/17,WOO
8/9/17,WOO
8/10/17,WOO
8/11/17,WOO
8/14/17,WOO
8/15/17,WOO
8/16/17,WOO
8/17/17,WOO
8/18/17,Correction
8/21/17,Correction
8/22/17,Correction
8/23/17,Correction
8/24/17,Correction
8/25/17,Correction
8/28/17,Correction
8/29/17,WOO
8/30/17,WOO
8/31/17,WOO
9/1/17,WOO
9/4/17,
9/5/17,WOO
9/6/17,WOO
9/7/17,WOO
9/8/17,WOO
9/11/17,WOO
9/12/17,WOO
9/13/17,WOO
9/14/17,WOO
9/15/17,WOO
9/18/17,WOO
9/19/17,WOO
9/20/17,WOO
9/21/17,WOO
9/22/17,WOO
9/25/17,WOO
9/26/17,WOO
9/27/17,WOO
9/28/17,WOO
9/29/17,WOO
10/2/17,WOO
10/3/17,WOO
10/4/17,WOO
10/5/17,WOO
10/6/17,WOO
10/9/17,WOO
10/10/17,WOO
