1/3/17,R,,5,9,
1/4/17,R,,4,8,
1/5/17,R,,4,7,
1/6/17,R,,3,6,
1/9/17,R,,3,5,
1/10/17,R,,3,5,
1/11/17,R,s,4,5,
1/12/17,R,,4,5,
1/13/17,R,,4,5,
1/17/17,R,s,5,6,d
1/18/17,R,,5,6,
1/19/17,R,,5,7,d
1/20/17,R,,5,8,s
1/23/17,R,,4,8,
1/24/17,R,,4,7,
1/25/17,R,,4,6,
1/26/17,R,,4,6,
1/27/17,R,,4,6,
1/30/17,R,s,5,7,d
1/31/17,R,,5,6,
2/1/17,R,,5,6,
2/2/17,R,,5,6,
2/3/17,R,,4,5,
2/6/17,R,,4,5,
2/7/17,R,s,3,5,s
2/8/17,R,,3,5,
2/9/17,R,,3,5,
2/10/17,R,,3,5,
2/13/17,R,,3,5,
2/14/17,R,,3,5,
2/15/17,R,,3,5,
2/16/17,R,,3,5,
2/17/17,R,,3,5,
2/21/17,R,,3,5,
2/22/17,R,,2,3,
2/23/17,R,,2,5,d
2/24/17,R,,2,3,
2/27/17,R,,2,3,
2/28/17,R,d,3,4,d
3/1/17,R,,3,4,
3/2/17,R,,3,4,
3/3/17,R,,3,4,
3/6/17,R,,3,4,
3/7/17,R,d,3,4,d
3/8/17,R,d,4,4,
3/9/17,R,,4,4,
3/10/17,R,,4,4,
3/13/17,R,,4,4,
3/14/17,R,d,5,4,
3/15/17,R,,5,3,
3/16/17,R,,4,3,
3/17/17,R,,4,4,s
3/20/17,R,,4,4,
3/21/17,P,d,5,5,d
3/22/17,P,,5,5,
3/23/17,P,,5,5,
3/24/17,P,,5,6,s
3/27/17,P,,5,6,
3/28/17,P,,5,6,
3/29/17,P,,5,6,
3/30/17,P,,5,5,
3/31/17,P,d,6,5,
4/3/17,P,,6,5,
4/4/17,P,,5,3,
4/5/17,P,d,6,5,d
4/6/17,P,,6,5,
4/7/17,P,,6,5,
4/10/17,P,,6,5,s
4/11/17,P,,5,5,d
4/12/17,P,d,5,5,
4/13/17,P,,5,5,
4/17/17,P,,5,5,
4/18/17,P,d,6,5,
4/19/17,P,,5,5,s
4/20/17,P,,5,5,
4/21/17,P,,5,5,
4/24/17,R,,5,5,
4/25/17,R,,5,5,
4/26/17,R,,4,3,
4/27/17,R,,4,3,
4/28/17,R,,4,3,
5/1/17,R,,4,3,
5/2/17,R,,4,3,
5/3/17,R,,4,5,d
5/4/17,R,,4,5,
5/5/17,R,,4,5,
5/8/17,R,,3,5,
5/9/17,R,,3,5,
5/10/17,R,,3,5,
5/11/17,R,d,3,3,
5/12/17,R,,3,3,
5/15/17,R,,3,3,
5/16/17,R,,3,3,
5/17/17,P,d,4,3,d
5/18/17,P,,3,3,
5/19/17,P,,3,3,
5/22/17,P,,3,3,
5/23/17,P,,2,3,
5/24/17,P,,2,3,
5/25/17,R,,2,3,
5/26/17,R,,2,3,
5/30/17,R,,2,3,
5/31/17,R,,2,3,
6/1/17,R,,2,3,
6/2/17,R,,2,3,
6/5/17,R,,2,3,
6/6/17,R,d,3,4,d
6/7/17,R,,3,3,
6/8/17,R,,3,2,
6/9/17,P,,3,3,d
6/12/17,P,,3,3,
6/13/17,P,,3,3,
6/14/17,P,,3,3,
6/15/17,P,,3,3,
6/16/17,P,,2,4,d
6/19/17,R,,2,4,
6/20/17,R,d,3,5,d
6/21/17,R,,3,5,
6/22/17,R,,2,4,
6/23/17,R,,2,4,
6/26/17,R,,2,4,
6/27/17,P,d,3,5,d
6/28/17,P,,3,5,
6/29/17,P,d,4,6,d
6/30/17,P,,4,6,
7/3/17,P,,4,6,
7/5/17,P,,4,6,
7/6/17,P,d,5,7,d
7/7/17,P,,5,7,
7/10/17,P,,5,7,
7/11/17,P,,5,7,
7/12/17,P,,4,6,
7/13/17,P,,4,6,
7/14/17,R,,4,6,
7/17/17,R,,4,5,
7/18/17,R,,4,5,
7/19/17,R,,4,5,
7/20/17,R,,4,4,
7/21/17,R,,4,4,
7/24/17,R,,4,3,
7/25/17,R,,4,3,
7/26/17,R,,3,3,d
7/27/17,R,,3,2,d
7/28/17,R,,3,2,
7/31/17,R,,3,3,
8/1/17,R,,3,3,
8/2/17,R,,2,3,
8/3/17,R,d,3,4,d
8/4/17,R,,2,4,
8/7/17,R,,2,4,
8/8/17,R,d,3,5,d
8/9/17,R,,3,6,d
8/10/17,P,d,3,7,d
8/11/17,P,,3,7,
8/14/17,P,,3,7,
8/15/17,P,,3,7,
8/16/17,P,s,4,8,s
8/17/17,P,d,5,9,d
8/18/17,P,,5,9,
8/21/17,P,,5,9,
8/22/17,R,,5,9,
8/23/17,R,,5,9,
8/24/17,R,d,6,9,
8/25/17,R,,6,9,
8/28/17,R,,6,9,
8/29/17,R,,6,9,
8/30/17,R,,6,8,
8/31/17,R,,6,7,
9/1/17,R,,6,7,
9/5/17,R,d,7,7,d
9/6/17,R,,7,7,
9/7/17,R,,7,7,
9/8/17,R,,6,6,
9/11/17,R,,6,6,
9/12/17,R,,6,6,
9/13/17,R,,5,5,
9/14/17,R,,5,4,
9/15/17,R,,4,3,
9/18/17,R,,4,3,
9/19/17,R,,4,3,
9/20/17,R,,4,3,
9/21/17,R,,3,2,
9/22/17,R,,2,1,
9/25/17,R,d,3,2,d
9/26/17,R,,3,2,
9/27/17,R,,3,2,
9/28/17,R,,3,2,
9/29/17,R,,2,2,
10/2/17,R,,2,2,
10/3/17,R,,2,2,
10/4/17,R,,2,2,
10/5/17,R,,2,2,
10/6/17,R,,2,2,
10/9/17,R,,2,2,
10/10/17,R,,1,1,
10/11/17,R,,1,1,
10/12/17,R,,1,1,
10/13/17,R,,1,1,
10/16/17,R,,1,1,
10/17/17,R,,1,1,
10/18/17,R,,1,2,s
10/19/17,R,,1,3,d
10/20/17,R,,1,3,
10/23/17,R,,1,4,d
10/24/17,R,,1,4,d
10/25/17,R,d,2,5,d
10/26/17,R,,2,5,
10/27/17,R,,2,4,
10/30/17,R,,1,4,
10/31/17,R,,1,4,
